名字,正文,时间
"
叮咚呀呀",最后的胜利是属于我们的 ,20200123-20200207
"
J听风过的声音",我觉得角度太蜜汁了，晃得我头好疼，然后就一边看评论一边看漏在最上面的字幕看完了 ,20200123-20200207
"
故事讲的好的人",？？？ ,20200123-20200207
"
BAIxw_",加油 ,20200123-20200207
"
武汉伢冇吃饭",早日康复 加油 ,20200123-20200207
"
岳杨好运",爱国家也相信咱们都能一起扛过来。。 ,20200123-20200207
"
限定啵啵农糖奶茶",祝你早日康复 ,20200123-20200207
"
爱我久久DD",祝您早日康复 ,20200123-20200207
"
dlcdlc_",@Magic_Ma ,20200123-20200207
"
MissssCrocodile",只有一个疑问，国家不是本来就应该做这些么？ ,20200123-20200207
"
onlycpmglove",会说话就多说点，多多暴露你智商的缺陷 ,20200123-20200207
"
今天有平常心吗",你有一位同事病了，领导因训诫（领导思想政治工作没做到位）不喜欢他，你是否还很用心（领导就在边看着）对这位同事？？？用心是抗领导意，不用心这位同事…… ,20200123-20200207
"
Gemini-20",愿你早日康复?? ,20200123-20200207
"
阿呆躌",天呐，四天就严重了??????那那些在家没有床位的人是不是也会拖成重症 ,20200123-20200207
"
钰崽崽的饲养员",@钰崽崽 都会好起来的！ ,20200123-20200207
"
咳的嗓子",。 ,20200123-20200207
"
Selene姗",加油，祝您健康 ,20200123-20200207
"
Elaine巴拉巴拉",相信国家 ,20200123-20200207
"
居一鸭鸭鸭鸭鸭鸭",我觉得正确的做法是，不好的地方我们可以批评并要求改正，做的好的地方我们也要不吝啬于表扬，到现在微博风气确是出现问题大肆辱骂，做好了却被人觉得理所当然，这不让人寒心吗，我理解大家急迫的心情，但这种情况下，我们更不能失去理智，不要总是发泄愤怒，冷静一点，不要给国家中央添乱了 ,20200123-20200207
"
_鳗鱼女",我在贵州，政府做得很好！我爱祖国！ ,20200123-20200207
"
偷走月亮了吗丶",人家说暂时未发现人传人现象，怎么但你这变成不可能人传人的意思了 ,20200123-20200207
"
要努力学习呀123456",转发微博 ,20200123-20200207
"
in0100",希望您平安，早日恢复健康！ ,20200123-20200207
"
小果爱吃红烧肉",我就算不委屈，我就是要骂武汉zf怎么了，我配不配我就要骂怎么了，我看见武汉zf和湖北zf下台了我开心怎么了，你是个东西，你维护的武汉zf领导到时候就要下台了，呵呵 ,20200123-20200207
"
兜兜里有胖喵",同意，任何国家都有老鼠屎一样的官员、可任何国家也都有好的领导人和善良的人民、那些不满意的比比叨叨带节奏的，你那么不喜欢中国，你滚阿、你看哪个国家好你滚去好吧 ,20200123-20200207
"
波漓芯芯",愿早日康复，好人一生平安！ ,20200123-20200207
"
Vvvyoo",早日康复！ ,20200123-20200207
"
张森森1209",祝您早日康复 ,20200123-20200207
"
JJY的JJY",我们的目标是星辰和大海 ,20200123-20200207
"
不不sll_940",早日康复 ,20200123-20200207
"
偷走月亮了吗丶",李医生200斤呢 ,20200123-20200207
"
Superlucky05",早日康复 ,20200123-20200207
"
爱吃酱油的豆包",你别哔哔赖赖什么感受没给你讲吗，你去看，我是真的服了，我洗什么了，我不禁言你，继续你的表演，我看你能跳到啥时候，反正我该说说了，你翻来覆去就这些话，你委屈，你配吗 ,20200123-20200207
"
似眠1279517804",你会好起来的，加油 ,20200123-20200207
"
Irises6120",加油加油加油，中国人一定可以挺过来???????????? ,20200123-20200207
"
stardn_1",我爱中国，我爱中国人民，我爱中华民族，不接受反驳！ ,20200123-20200207
"
火柴玩摄影",加油??！ ,20200123-20200207
"
我就是jinli本鲤",您一定会好的 一定会好的 一定会好的????祝您早日康复呀 ～ 叔叔好帅 ！ ,20200123-20200207
"
柒安少一安",想起我们马主任是活宝也是科宝保持乐观，吃好喝好，活下去！ ,20200123-20200207
"
十一点零一就睡觉",祝早日康复！ ,20200123-20200207
"
乔家--阿初",是的 ,20200123-20200207
"
简简单单就是我哈哈",早日康复 ,20200123-20200207
"
Primadonna4",额…你认识字波？ ,20200123-20200207
"
石航源",加油 等待你们的好消息 ,20200123-20200207
"
加饭酒-",@RUGE-7 @SHEEP-静莹 ,20200123-20200207
"
王源哒七",加油 ,20200123-20200207
"
Sunshine靓般灿烂",保重 ,20200123-20200207
"
加饭酒-",@SHEEP-静莹 @RUGE-7 ,20200123-20200207
"
冷霸霸A",脑子是好东西希望你有 ,20200123-20200207
"
Omotesandou",@_Shiiiyu 好像是个那个感染的一个专家 ,20200123-20200207
"
赵格拉",一定要康复！！！ ,20200123-20200207
"
江湖代号zrr",能吃能喝加乐观心态胜利必将属于我们 ,20200123-20200207
"
Angelaaa_n",愿早日康复！?? ,20200123-20200207
"
Angelaaa_n",一线工作者都是伟大的！ ,20200123-20200207
"
尘缘叶子",加油啊！！！ ,20200123-20200207
"
感觉有点微妙",早日康复！ ,20200123-20200207
"
苏曼文lear",希望您早日康复！加油！ ,20200123-20200207
"
小老地的L",加油 胜利是属于我们的 ,20200123-20200207
"
波动中讨生活",国家是好的，但是这次疫情武汉政府要负责任，给国家给人民造成多大损失 ,20200123-20200207
"
vagrant-l",这些医生怎么都这么好呀…… ,20200123-20200207
"
耶啵要抱抱",祝您早日康复 ,20200123-20200207
"
清心-墨",尊重余医生 ,20200123-20200207
"
GRI糖给我磕",之前猪瘟，国家已经拿出好多储备冻猪肉来缓解市场压力了，我都怕医生们没肉吃没有力气 ,20200123-20200207
"
小小精灵的小小朋友",希望您早日康复 ,20200123-20200207
"
-乐弥",看了一个科普，免疫力过强的人反而会让身体反应过大以至于整个身体会反噬，好像就叫免疫风暴？ ,20200123-20200207
"
PT筋肉公司",开黑之前拍拍胸脯，想想2019国庆时候你们发的那些朋友圈那些豪言壮语吧，我们和国是一体的，一荣俱荣，一损俱损。 ,20200123-20200207
"
弄海棠",所以死亡率确定是2%？ ,20200123-20200207
"
请叫我不忙不忙",早日康复 ,20200123-20200207
"
嗜权如命",我很爱我的国家 如果能有下辈子的话 我希望自己还是还能投在这片土地上还是中国人 ,20200123-20200207
"
Paperdog没有叛逃",加油(?? ????_????)?? ,20200123-20200207
"
盛世bai莲",早日康复 ,20200123-20200207
"
超酷71541",??????早日 康复 ,20200123-20200207
"
FLoral7·",呦??????说不过就开始给人家扣屎盆子？积点德吧你 ,20200123-20200207
"
唯wang初心",加油，余昌平医生告诉我们生病了也要好好吃好好睡就会看到胜利的希望ヾ ^_^?? ,20200123-20200207
"
到一年了吧我可以改名了",辛苦了 ,20200123-20200207
"
Wedding259695",一定要早日康复呀 ,20200123-20200207
"
萌小兵哈哈",经历过生死的人，还可以这么乐观豁达，说的轻描淡写 ,20200123-20200207
"
HuHuHu_YI",加油加油呀 ,20200123-20200207
"
漫热象",加油医生 ,20200123-20200207
"
努力賺毛桑的蘇小雞",加油 ,20200123-20200207
"
sy双飞",武汉疾控中心，武汉政府是这场灾难的凶手。 ,20200123-20200207
"
正版葭离",一直觉得国家是好的，人民是好的，除了?? 官 ,20200123-20200207
"
布布wjj",好可爱的医生，您这样的一定会长命百岁的 ,20200123-20200207
"
小果爱吃红烧肉",感受？你体会不到别人的感受就别劝人大度。我只知道因为武汉zf的瞒报因为zf拿市民的命不当人命因为媒体说不人传人，即使是有人死亡也要举办万人宴的zf我凭什么不骂。武汉zf领导现在已经开始在换人了，你还在这洗武汉zf领导吗？ ,20200123-20200207
"
肥肉你知不知羞",好可爱好和蔼呀 希望早日康复 ,20200123-20200207
"
兔子姐627",看这个医生笑着给我们讲他的病情，真的好想哭 ,20200123-20200207
"
尹CC得CCCC",祝您早日康复！您好有大学教师风范啊～ ,20200123-20200207
"
昕昕念念3UM",早日康复 ,20200123-20200207
"
雨晴time",心态乐观，恭喜好转，天佑武汉人民，天佑中国人民 ,20200123-20200207
"
墨不研",向前线专家致敬，为专家如此积极乐观向上的心态点赞！与您同愿，最后的胜利属于我们！ ,20200123-20200207
"
立青一七",祝您早日康复，战胜病魔！！！ ,20200123-20200207
"
Duuuuunnn",加油加油，一定要快快好起来！ ,20200123-20200207
"
我的生活不应该只为你",说的太好了，那些趁机说国家坏话的键盘侠们都是心怀鬼胎 ,20200123-20200207
"
小太阳啦cm",无论多没有胃口也要吃东西，保持体力跟营养。我当初发烧住院的时候一小碗饭都要吃半个小时以上才能吃完，因为一发烧就得大量的喝水…… ,20200123-20200207
"
马菲啦哩",加油，会好起来了的， ,20200123-20200207
"
Seveniw_",并不是 国家也可以不管你????不要当作理所应当 ,20200123-20200207
"
二店下",我们的祖国母亲已经很努力很努力的在解决问题了，说滴对 ,20200123-20200207
"
呵呵家的小毛驴",我在江西，国家做得很好 ,20200123-20200207
"
苏格兰黄色蔷薇",坚定的战士！任何时候都不忘记身上的责任！此为时代英雄！中流砥柱！ ,20200123-20200207
"
木小二de金",也许，生而为人，活得就是精神 ,20200123-20200207
"
赵小姐vs",你说的对，zy没有放弃人民，再想各种办法救治患者，我们此刻要做的就是团结一致，众志成城，至于那几个老鼠屎，中央一定有自己的对策 ,20200123-20200207
"
ENENENENEN6",@whocareman @Whisper-X ,20200123-20200207
"
-圆脸姐---",加油，快快好起来 ,20200123-20200207
"
请叫我学霸777",难道是因为公安训诫致死的？ ,20200123-20200207
"
倾国倾城_Selene",他们说的话听听就行了 ,20200123-20200207
"
来口甜粥",同意！真的觉得国家对我们很好了，免费医疗救活了多少人又给了多少人重生的希望！各个特殊岗位都在坚守，每次看视频都觉得热泪盈眶的，我爱我的国家，希望它和人民都能马上好起来！加油 ,20200123-20200207
"
hahahahahaha0827",真的大家都不容易 一起加油 国家很辛苦费了多少人力无力 第一季度gdp我感觉会下滑好多 我们这些普通人帮不上忙也就算了 至少别添乱管好自己和自己家里人 ,20200123-20200207
"
情在寒冬",加油 ,20200123-20200207
"
是努力的小骄傲了",说能吃能喝的时候 真的好激动，真的是这样的，能正常吃喝，就是很好(??▽??) ,20200123-20200207
"
echoy莹",谢谢?? ,20200123-20200207
"
CHENYIYU陈一予",是开除吗 好像是免职 ,20200123-20200207
"
阿东不知道什么时候想发的bot",@我好好好困 ,20200123-20200207
"
混沌没有脸",他心态好好啊 ,20200123-20200207
"
Nenstairor56Q",加油中国！ ,20200123-20200207
"
violeta椰",希望您早日康复，最后的胜利一定会属于我们的！ ,20200123-20200207
"
小虎行星",希望您早日康复 ,20200123-20200207
"
番薯爱上西兰花",祝早日康复！加油?? ,20200123-20200207
"
南有乔木岂可思",宁又开始带节奏了 ,20200123-20200207
"
撸猫晚期患者",这层的看的真舒服，一直想的确总结不出来的话都让这层给我说出来了，气顺了不少，必须把你们都赞一遍，哈哈，祖国加油，祖国辛苦了！ ,20200123-20200207
"
香芋奶茶多加冰",不是呦，香港有好多好人，台湾也有好人，可从你发言来看，你就不是个好人哇，怎么滴了 ,20200123-20200207
"
花开四月000",up ,20200123-20200207
"
雨雨雨孩子",祝愿早日康复 ,20200123-20200207
"
蔷薇与猛虎呢",心跳停止用设备维持并继续抢救，有什么问题？以前有救回来的先例，一线医生没空作秀给你看，他们更希望能挽回生命，你们这些废青真的没资格提他们！ ,20200123-20200207
"
一只阿翡",希望您早日康复，致敬医护人员们，辛苦了 ,20200123-20200207
"
Qia是你的温柔",心态很好 祝您早日康复 早日战胜病毒 善良的人不应该被这样对待 ,20200123-20200207
"
美人小雪雪雪",好乐观的人 祝福你 ,20200123-20200207
"
Seveniw_",你这种??人国家就应该让你吃不上饭????捂不热的狼 ,20200123-20200207
"
-柠-七-",早日康复 ,20200123-20200207
"
好了狗崽崽啊",您是最棒的！祝早日康复 ,20200123-20200207
"
王彦Lisa",榜样的力量 ,20200123-20200207
"
qe_tu_z",祝福早日康复！ ,20200123-20200207
"
特级撒娇鬼",我一定听你的话，你也一定要快点好起来的呀 ,20200123-20200207
"
貘哴18102",你这种爱国贼说的叫尼玛人话吗，就算武汉全灭，艹，丫的今天我就骂你了，收起你的“爱国之心”吧，还有好多武汉人挣扎在生死边缘，免个蛋的医疗费，重症的才免了。你们天天发这种鸡汤文不觉得可耻吗，我们不添乱，但也决不允许zf的无赖行径和无耻作风 ,20200123-20200207
"
Carolin_桂桂",无论何时，我热爱脚下的这片土地 ,20200123-20200207
"
小小崩蛋",其实我真的觉得国家已经做的很好了。几千个亿免费给治疗 不需要你花一分钱????每天不重样的给医护和病患搭配三餐??????全国加一起已经开除700多个 监督不到位的??官????还有很多为人民做事的 我们本来什么忙都帮不上 这个时候就不要再跟风起哄 给国家添乱了 ,20200123-20200207
"
拱北站K3路巴士",早日康复，辛苦了 ,20200123-20200207
"
odapodap",没什么好怕的~会好起来的 ,20200123-20200207
"
安娜亲亲知我心",加油！早日康复！ ,20200123-20200207
